,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,50.58285164833069,,0,0.9749534739454092,1.0,0.9999999999999998,1.0,1.0,1.0
0,22.723246335983276,100,1,0.9629379652605459,1.0,1.0,0.6805555555555557,1.0,1.0
0,22.063611268997192,96,2,0.9394507931093298,1.0,1.0,0.7777777777777778,0.9285714285714286,0.9808673469387754
0,12.361719846725464,55,3,0.9279727023217862,0.9955357142857143,0.9990740232660228,0.6805555555555557,0.5714285714285714,0.8837868480725624
0,20.17163848876953,87,4,0.9629379652605459,0.9977678571428572,0.9995228729603729,0.874074074074074,0.9285714285714286,0.9808673469387754
0,12.533747911453247,55,5,0.9279727023217862,0.9854910714285714,0.9969150050864009,0.6222222222222222,0.7142857142857142,0.91797052154195
0,32.420209646224976,140,6,0.9873500560440556,1.0,1.0,0.874074074074074,1.0,1.0
0,21.401535034179688,91,7,0.9632957422324512,1.0,1.0,0.6863636363636364,1.0,1.0
0,45.08058023452759,190,8,1.0,1.0,1.0,0.891025641025641,1.0,1.0
0,22.02697467803955,94,9,0.9752737592927467,1.0,1.0,0.5666666666666667,1.0,1.0
