,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,167.54687309265137,,0,0.9132412303144011,0.9534391534391534,0.9887222940399651,0.9037037037037037,1.0,1.0
0,44.612282514572144,53,1,0.8829258596700458,0.8314732142857143,0.9498060339011262,0.6805555555555557,0.07142857142857142,0.5766439909297052
0,161.92772579193115,,2,0.868997668997669,0.9665178571428571,0.9926725148956367,0.7777777777777778,0.9285714285714286,0.9808673469387754
0,141.1075849533081,170,3,0.8365241656945493,0.9564732142857142,0.9897616919022658,0.6222222222222222,0.7857142857142857,0.9441609977324261
0,163.7512481212616,,4,0.868997668997669,0.9174107142857143,0.9773260802630199,0.874074074074074,0.7857142857142857,0.9325680272108843
0,49.35463309288025,59,5,0.8408274495231017,0.8392857142857143,0.9510850623162871,0.6805555555555557,0.5,0.8516439909297051
0,164.94948196411133,,6,0.9021885818224492,0.9285714285714286,0.9796286263626297,0.6805555555555557,0.6428571428571428,0.8587585034013605
0,42.395978927612305,50,7,0.8716932672904055,0.94375,0.9861114465796783,0.8166666666666667,0.7142857142857143,0.9587585034013606
0,165.16633129119873,,8,0.9010950371709865,0.953125,0.9889989754273874,0.891025641025641,1.0,1.0
0,165.21724367141724,,9,0.9493670886075949,0.9645833333333333,0.9911753066405509,0.5666666666666667,1.0,1.0
