,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,213.36919164657593,,0,0.5437577128753599,0.9396825396825397,0.9849827986380755,0.5165945165945165,1.0,1.0
0,52.06788659095764,52,1,0.8829258596700458,0.84375,0.9494029738239991,0.6805555555555557,0.14285714285714285,0.6004535147392289
0,198.37522673606873,,2,0.8861505043964996,0.9341517857142857,0.9843466539724941,0.874074074074074,0.9285714285714286,0.9808673469387754
0,202.21456122398376,,3,0.879013505578391,0.9107142857142857,0.9772759557870403,0.6805555555555557,0.7142857142857143,0.9280045351473922
0,197.74389338493347,,4,0.8683760683760684,0.8872767857142857,0.9672043988966819,0.6805555555555557,0.8571428571428572,0.9587585034013604
0,50.36930727958679,51,5,0.8393978494623655,0.8013392857142857,0.9357473464854913,0.4786324786324786,0.42857142857142855,0.8314058956916099
0,191.64304566383362,,6,0.8857460947013186,0.9252232142857142,0.9781202743805326,0.6805555555555557,0.5714285714285714,0.799234693877551
0,199.71422505378723,,7,0.8172531443684007,0.9531250000000001,0.9889792363337649,0.4246031746031746,0.7142857142857143,0.9587585034013606
0,195.76211738586426,,8,0.8874649141703347,0.9322916666666667,0.982820762236817,0.891025641025641,1.0,1.0
0,183.57222247123718,,9,0.9493670886075949,0.9635416666666667,0.9908796403198106,0.5666666666666667,1.0,1.0
