,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,43.89825367927551,,0,0.9275641025641025,0.9978835978835979,0.9994960312380625,1.0,1.0,1.0
0,31.60052752494812,156,1,0.9394507931093298,0.9966517857142858,0.999276794711365,0.6805555555555557,1.0,1.0
0,17.63240933418274,87,2,0.9394507931093298,1.0,1.0,0.874074074074074,0.9285714285714286,0.9808673469387754
0,29.417001247406006,146,3,0.951095947063689,0.9977678571428572,0.9995228729603729,0.6805555555555557,0.7142857142857142,0.91797052154195
0,28.366563320159912,140,4,0.9873500560440556,1.0,1.0,0.874074074074074,0.9285714285714286,0.9808673469387754
0,11.825559139251709,58,5,0.9152311103530616,0.9765625,0.9949364234831801,0.6222222222222222,0.7857142857142857,0.9441609977324261
0,40.295716762542725,,6,0.951095947063689,1.0,1.0,1.0,1.0,1.0
0,11.82324481010437,58,7,0.9358629487140445,0.9874999999999999,0.997311759995371,0.891025641025641,0.8571428571428571,0.9808673469387755
0,36.218860149383545,188,8,0.9399432511504138,1.0,1.0,0.891025641025641,1.0,1.0
0,15.30103611946106,76,9,0.9399432511504138,0.9947916666666667,0.9988105476904159,0.5666666666666667,1.0,1.0
