,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,140.28185749053955,140,0,0.8489401111339783,0.9830687830687832,0.9960801489933648,0.8174603174603174,1.0,1.0
0,52.35947370529175,55,1,0.15364047716988893,0.9140625,0.9763949128390985,0.0808080808080808,0.42857142857142855,0.6774943310657596
0,195.59941816329956,,2,0.9301347013017494,0.9910714285714285,0.9981248870407738,0.874074074074074,0.8571428571428572,0.9587585034013604
0,104.38478875160217,107,3,0.6925431004638926,0.9676339285714285,0.9926059661093083,0.7962962962962963,0.7857142857142857,0.9441609977324261
0,47.96750068664551,50,4,0.7898167844644204,0.8671875000000001,0.9649273840836889,0.874074074074074,0.6428571428571428,0.8587585034013605
0,142.446359872818,149,5,0.5359718262619487,0.9955357142857143,0.9990383477199883,0.5777777777777778,0.9285714285714286,0.9808673469387754
0,193.93098092079163,,6,0.9629379652605459,1.0,1.0,0.874074074074074,1.0,1.0
0,50.09492349624634,50,7,0.8924788291876901,0.9333333333333333,0.9840107424752669,0.673076923076923,0.7142857142857143,0.9587585034013606
0,190.3028531074524,,8,0.9515288352989215,0.9864583333333334,0.9969652714439957,0.891025641025641,1.0,1.0
0,80.6979775428772,82,9,0.8838768504612744,0.9895833333333334,0.9975748619345111,0.5666666666666667,1.0,1.0
