,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,358.8624904155731,169,0,0.9508938506045544,1.0,0.9999999999999998,1.0,1.0,1.0
0,304.83361291885376,139,1,0.9750101750101751,1.0,1.0,0.6805555555555557,1.0,1.0
0,219.37788939476013,102,2,0.9394507931093298,1.0,1.0,0.7777777777777778,0.8571428571428572,0.9587585034013604
0,176.43181800842285,89,3,0.9471400394477317,0.9944196428571428,0.9988279450170149,0.6805555555555557,0.7142857142857142,0.91797052154195
0,203.48134183883667,101,4,0.9873500560440556,1.0,1.0,0.874074074074074,1.0,1.0
0,324.3547821044922,159,5,0.9279727023217862,1.0,1.0,0.7777777777777778,0.9285714285714286,0.9808673469387754
0,363.5268020629883,182,6,0.9750101750101751,1.0,1.0,0.874074074074074,1.0,1.0
0,109.92059874534607,53,7,0.9285121394480182,0.9875,0.9973445620090526,0.5666666666666667,1.0,1.0
0,196.77543783187866,95,8,0.9399432511504138,1.0,1.0,0.891025641025641,1.0,1.0
0,166.12565875053406,79,9,0.8949129797975666,0.9906250000000001,0.9978542348705502,0.5666666666666667,1.0,1.0
