,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,53.031744718551636,116,0,0.9148124602670057,0.9756613756613757,0.9942633187734882,0.7777777777777778,0.875,0.9852430555555556
0,57.680044412612915,138,1,0.9266439205955336,0.9877232142857143,0.997297380968111,0.6805555555555557,1.0,1.0
0,51.06238269805908,122,2,0.9394507931093298,0.9866071428571428,0.9971191809071722,0.874074074074074,0.9285714285714286,0.9808673469387754
0,49.74116826057434,121,3,0.9266439205955336,0.9877232142857142,0.9973813577828847,0.6805555555555557,0.8571428571428571,0.9662698412698412
0,56.74183130264282,135,4,0.9873500560440556,0.9966517857142857,0.9992950729308006,0.874074074074074,1.0,1.0
0,83.3550853729248,,5,0.9279727023217862,0.9933035714285714,0.9985605316893919,0.7777777777777778,0.9285714285714286,0.9808673469387754
0,82.76264524459839,,6,0.8942853648736002,0.9955357142857143,0.9990075612947678,1.0,1.0,1.0
0,82.96271705627441,,7,0.9632957422324512,1.0,1.0,0.6863636363636364,1.0,1.0
0,83.27287745475769,,8,0.9515288352989215,0.9958333333333333,0.9990740232660228,1.0,1.0,1.0
0,68.89467215538025,164,9,0.9632957422324512,0.9989583333333334,0.9997577373798077,0.7916666666666666,1.0,1.0
