,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,784.7003331184387,,0,0.8772346265113864,0.9333333333333332,0.9836935610495872,0.8174603174603174,1.0,1.0
0,204.79366970062256,51,1,0.8302057783425437,0.8493303571428571,0.960065543995855,0.6805555555555557,0.07142857142857142,0.5766439909297052
0,799.1782112121582,,2,0.8942800788954636,0.9508928571428571,0.9888637399408139,0.874074074074074,1.0,1.0
0,791.9069428443909,,3,0.8799545038696436,0.9475446428571428,0.9879342084225488,0.6805555555555557,0.7857142857142857,0.9441609977324261
0,793.1333341598511,,4,0.858119658119658,0.9296875,0.9823943306370635,0.874074074074074,0.9285714285714286,0.9808673469387754
0,230.45389008522034,58,5,0.8462963428638486,0.8671875,0.9581395767451265,0.6805555555555557,0.5714285714285714,0.8696712018140589
0,776.845098733902,,6,0.8462963428638486,0.9029017857142857,0.9700170270427217,0.6805555555555557,0.5714285714285714,0.799234693877551
0,614.5857753753662,155,7,0.7944097874144509,0.9187500000000001,0.9801407169312544,0.4246031746031746,0.5714285714285714,0.9325680272108843
0,788.8334357738495,,8,0.8400965013223507,0.9479166666666666,0.9877321137635422,0.5666666666666667,1.0,1.0
0,771.2282927036285,,9,0.9143567318757191,0.9625,0.990875156562812,0.5666666666666667,1.0,1.0
