,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,39.36551070213318,,0,0.9508938506045544,1.0,0.9999999999999998,1.0,1.0,1.0
0,28.111424684524536,162,1,0.9394507931093298,0.9933035714285715,0.9985144147715079,0.6805555555555557,1.0,1.0
0,20.766207695007324,121,2,0.9279727023217862,0.9899553571428571,0.997818359190352,0.7777777777777778,0.9285714285714286,0.9808673469387754
0,30.034878253936768,175,3,0.9394507931093298,0.9955357142857143,0.9990383477199883,0.6805555555555557,0.7142857142857142,0.91797052154195
0,19.64033317565918,114,4,0.916634880271244,0.9977678571428572,0.9995228729603729,0.874074074074074,1.0,1.0
0,25.858317136764526,150,5,0.9609752865566819,0.9966517857142858,0.999276794711365,0.6805555555555557,0.7857142857142857,0.9441609977324261
0,34.026118993759155,,6,0.9394507931093298,0.9955357142857144,0.999026778710341,0.874074074074074,1.0,1.0
0,29.445446014404297,170,7,0.9515288352989215,0.9979166666666667,0.9995116591307998,0.5666666666666667,1.0,1.0
0,25.383520126342773,145,8,0.9752737592927467,1.0,1.0,0.891025641025641,1.0,1.0
0,22.18545389175415,127,9,0.9172111749787238,0.9937500000000001,0.9985779290159909,0.5666666666666667,1.0,1.0
