,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,132.32330465316772,61,0,1.0,1.0,1.0,0.7490302789770621,0.8014236622484046,0.9121270440157871
0,127.17330861091614,63,1,1.0,1.0,1.0,0.7661589271850144,0.7844869906725578,0.8717279275542662
0,121.37255144119263,60,2,1.0,1.0,1.0,0.7208993647046947,0.750613647520864,0.8556464454724222
0,157.71575379371643,78,3,1.0,1.0,1.0,0.7906801532257888,0.877906976744186,0.949740944481524
0,143.85207891464233,72,4,1.0,1.0,1.0,0.8194319840387783,0.8787202380952382,0.9361127510557906
