,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,351.14403676986694,60,0,1.0,1.0,1.0,0.7648187281552264,0.8082965144820815,0.9096943603331684
0,395.9325089454651,61,1,1.0,1.0,1.0,0.7559325673789327,0.794305351006382,0.898098233409099
0,392.23816180229187,61,2,1.0,1.0,1.0,0.7454557504588546,0.7783505154639175,0.8805811830518334
0,356.92811584472656,66,3,1.0,1.0,1.0,0.8051160047274586,0.8909883720930232,0.9561568209065514
0,338.00008177757263,56,4,1.0,1.0,1.0,0.8102677351291666,0.8854166666666666,0.94370182397149
