,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,66.3146743774414,61,0,1.0,1.0,1.0,0.7757738305193033,0.822287677957781,0.9243706369600261
0,62.04317927360535,62,1,1.0,1.0,1.0,0.7748796193569787,0.7962690230731468,0.8883905539383254
0,62.31332993507385,60,2,1.0,1.0,1.0,0.7225455998837295,0.7407952871870397,0.8552601233207529
0,81.58348321914673,81,3,1.0,1.0,1.0,0.7841726618705036,0.875968992248062,0.9491424576740018
0,74.56860828399658,72,4,1.0,1.0,1.0,0.833877425315676,0.8854166666666667,0.9396931090609774
