,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,145.05715203285217,56,0,1.0,1.0,1.0,0.7490302789770621,0.8014236622484046,0.9089618700846388
0,135.8006637096405,54,1,1.0,1.0,1.0,0.7707245329923307,0.7944280805105547,0.8985946746805177
0,145.63883066177368,58,2,1.0,1.0,1.0,0.7454557504588546,0.7781050564555719,0.8796956562388699
0,181.9936978816986,72,3,1.0,1.0,1.0,0.8116870274031143,0.8909883720930232,0.9561887220944458
0,148.19023728370667,58,4,1.0,1.0,1.0,0.8102677351291666,0.8901289682539683,0.9466326885011244
