,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,55.04314970970154,67,0,1.0,1.0,1.0,0.7672775806504117,0.8134511536573392,0.9202374684471821
0,46.04748034477234,57,1,1.0,1.0,1.0,0.787641731275174,0.804860088365243,0.9071646374783989
0,46.897249698638916,59,2,1.0,1.0,1.0,0.7163649790827238,0.7403043691703486,0.8639552653944367
0,58.995551109313965,75,3,1.0,1.0,1.0,0.7940592980161325,0.8650678294573644,0.9451616097139584
0,61.35040783882141,77,4,1.0,1.0,1.0,0.8120268224096906,0.8874007936507936,0.9491030887401484
