,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,26.078633546829224,64,0,1.0,1.0,1.0,0.7346891520614657,0.7945508100147275,0.9057576194724402
0,21.52161741256714,62,1,1.0,1.0,1.0,0.7748796193569787,0.8144329896907218,0.9106570114253709
0,21.456658840179443,61,2,0.9981996872393208,1.0,1.0,0.7078050864958872,0.7363770250368188,0.8711338424150333
0,25.946611404418945,76,3,1.0,1.0,1.0,0.7793492478744277,0.8737887596899225,0.9499806864730467
0,32.264098167419434,88,4,1.0,1.0,1.0,0.8137922815659323,0.8881448412698413,0.9460062337977789
