,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,179.71883511543274,61,0,1.0,1.0,1.0,0.7569659388768054,0.8146784486990672,0.9178880370620057
0,177.39430856704712,60,1,1.0,1.0,1.0,0.787641731275174,0.8078055964653903,0.8976214164274312
0,170.75023341178894,59,2,1.0,1.0,1.0,0.6812079455400337,0.734413352970054,0.8612416085114382
0,192.1298794746399,68,3,1.0,1.0,1.0,0.7753157557330894,0.8713662790697674,0.9478385404216412
0,214.78090524673462,75,4,1.0,1.0,1.0,0.7775412992804297,0.8876488095238095,0.9502103887635218
