,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,173.2045783996582,370,0,0.9520940485084857,0.9957230891866204,0.9980153947192492,0.735514445586388,0.7766323024054982,0.8913633948198606
0,190.00196957588196,413,1,0.9626421496582862,0.99629027807585,0.9983165603570796,0.7697841726618705,0.8222876779577811,0.9235740950434559
0,145.12861895561218,316,2,0.9366052126083596,0.9915228255204341,0.9962009682980528,0.684049098994562,0.7380952380952381,0.8613635719142025
0,230.40596413612366,,3,0.9874388519298122,0.9995539559493047,0.9998071410810145,0.7841726618705036,0.8645833333333333,0.9435072033956645
0,195.57755708694458,402,4,0.9645099329845914,0.9981805115973273,0.9991679327424661,0.7929485957015485,0.8623511904761905,0.9329202400401502
