,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,224.3238959312439,205,0,0.8894430519803649,0.962274274151516,0.9818619071513135,0.748656020238754,0.8151693667157585,0.920197888260607
0,214.9370632171631,189,1,0.8810339380688336,0.9546248888616365,0.9797517994722245,0.7560320485424044,0.814923907707413,0.9232315676808405
0,180.45615887641907,148,2,0.8707407407407407,0.9435263819480639,0.9756504928311045,0.735514445586388,0.7783505154639175,0.8783863798389053
0,572.924605846405,466,3,0.9502975929167328,0.9927556293835365,0.9969692910715899,0.7932273763653603,0.8723352713178294,0.9475568811992846
0,279.45776653289795,245,4,0.8936101841201414,0.9628916104765836,0.9847789940894259,0.8194319840387783,0.8700396825396827,0.9359198354084617
