,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,40.864983558654785,56,0,1.0,1.0,1.0,0.7661184054361647,0.8159057437407953,0.9214813609844638
0,40.57124924659729,57,1,1.0,1.0,1.0,0.751751326211758,0.794305351006382,0.9033810889573805
0,37.37642025947571,54,2,1.0,1.0,1.0,0.7681512331200245,0.7722140402552775,0.8755885228199607
0,49.48421788215637,71,3,1.0,1.0,1.0,0.8051160047274586,0.8938953488372093,0.9568515597751983
0,44.69856238365173,65,4,1.0,1.0,1.0,0.833877425315676,0.890625,0.9473433846600167
