,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,177.53117179870605,63,0,1.0,1.0,1.0,0.7683026725960121,0.8176239567992145,0.9203553020881289
0,175.0369942188263,63,1,1.0,1.0,1.0,0.7707245329923307,0.8063328424153166,0.9014660054303864
0,177.40981674194336,64,2,1.0,1.0,1.0,0.6872742077065929,0.734413352970054,0.8585898546578041
0,186.51225018501282,67,3,1.0,1.0,1.0,0.7892012988311853,0.869186046511628,0.946830607535402
0,179.62763142585754,65,4,1.0,1.0,1.0,0.800639197204071,0.8874007936507936,0.9488158373682412
